user,latitude,longitude,date,day_of_week,hour,categoria,timestamp
User_2191,-3.046402,-59.969903,2018-07-13,Saturday,12,lodging,1530980112342
User_3331,-3.970572,-45.665977,2018-07-13,Saturday,9,store,1530967330690
User_2360,-7.220397,-35.88561,2018-07-13,Saturday,9,accounting,1530964958540
User_1063,-12.917349,-38.408449,2018-07-13,Saturday,10,restaurant,1530970203780
User_1624,-21.763297,-43.34732,2018-07-13,Saturday,9,restaurant,1530962414200
User_475,-3.135299,-60.023838,2018-07-13,Saturday,9,lodging,1530970746425
User_1199,-21.734943,-43.327375,2018-07-13,Friday,21,restaurant,1530924106199
User_363,-22.811267,-43.189825,2018-07-13,Saturday,8,store,1530963217618
User_4029,-23.440332,-46.533422,2018-07-12,Saturday,3,real_estate_agency,1530946701882
User_5452,-12.978739,-38.453876,2018-07-13,Saturday,10,bank,1530969021934
User_2727,-20.011511,-45.97876,2018-07-13,Saturday,10,doctor,1530969643482
User_947,-30.157151,-51.147458,2018-07-13,Saturday,10,restaurant,1530969864354
User_1967,-20.075597,-44.579902,2018-07-09,Saturday,10,movie_theater,1530969941292
User_5972,-26.997791,-51.408481,2018-07-13,Saturday,10,bar,1530970286765
User_438,-27.499963,-48.511295,2018-07-12,Saturday,10,restaurant,1530970888932
User_5975,-15.324499,-49.138192,2018-07-13,Friday,21,lawyer,1530922115605
User_3377,-23.552779,-46.456329,2018-07-13,Friday,11,laundry,1530887602453
User_5553,-23.465856,-47.496408,2018-07-13,Friday,21,movie_rental,1530922706567
User_1965,-23.582689,-46.600678,2018-07-13,Wednesday,15,store,1530729953584
User_5004,-22.872569,-42.335442,2018-07-13,Friday,20,cafe,1530920244072
User_3946,-23.59169,-46.784001,2018-07-10,Friday,21,car_repair,1530924880273
User_2163,-21.1131,-45.831155,2018-07-10,Friday,22,well_being,1530925282095
User_2602,-23.48337,-46.633594,2018-07-10,Thursday,20,restaurant,1530832639045
User_3797,-22.936971,-43.244717,2018-07-09,Thursday,22,electronics_store,1530841407636
User_3361,-3.725442,-38.701494,2018-07-09,Thursday,22,store,1530842315256
User_734,-1.456302,-48.434339,2018-07-10,Thursday,22,amusement_park,1530841346507
User_850,-23.116574,-45.700558,2018-07-09,Thursday,18,school,1530827827996
User_382,-20.529561,-54.642365,2018-07-09,Wednesday,18,doctor,1530742345998
User_316,-25.439748,-49.222142,2018-07-09,Wednesday,14,bar,1530727021024
User_353,-20.35199,-40.376261,2018-07-09,Thursday,22,school,1530839065888
User_2268,-5.85271,-35.263319,2018-07-09,Thursday,22,moving_company,1530839402463
User_3900,-12.925745,-38.379279,2018-07-09,Thursday,21,police,1530838340536
User_2665,-23.575938,-46.738123,2018-07-10,Thursday,22,bank,1530841659347
User_1614,-21.774846,-43.370528,2018-07-10,Thursday,19,lodging,1530828590000
User_2882,-7.245294,-39.30552,2018-07-10,Thursday,22,doctor,1530841664072
User_2993,-27.002967,-48.629701,2018-07-10,Thursday,11,store,1530796565328
User_460,-21.61622,-48.367045,2018-07-10,Thursday,20,store,1530832596308
User_2782,-21.18178,-47.80548,2018-07-10,Thursday,18,storage,1530826303819
User_4557,-12.942138,-38.500221,2018-07-10,Thursday,15,shopping_mall,1530814053591
User_1372,-3.88169,-38.612482,2018-07-10,Thursday,22,cultural_venue,1530839968233
User_3541,-1.359543,-48.443404,2018-07-10,Thursday,17,store,1530822677811
User_2152,-19.624724,-43.225145,2018-07-10,Thursday,11,place_of_worship,1530800340231
User_1445,-22.879916,-47.054652,2018-07-10,Wednesday,15,well_being,1530728757322
User_2666,-23.560801,-46.560246,2018-07-10,Wednesday,17,furniture_store,1530734712211
User_11,-23.701666,-46.59236,2018-07-03,Thursday,22,bar,1530842145351
User_5733,-12.925799,-38.485813,2018-07-03,Tuesday,23,restaurant,1531275644065
User_772,-23.571166,-46.663943,2018-07-03,Tuesday,13,cafe,1531240105859
User_257,-15.802308,-47.948103,2018-07-03,Tuesday,22,car_repair,1531271055187
User_3516,-23.507378,-46.873556,2018-07-03,Tuesday,20,store,1531266068261
User_48,-23.51304,-46.674786,2018-07-03,Tuesday,10,lodging,1531228829605
User_5125,-22.431763,-46.823921,2018-07-03,Tuesday,14,bar,1531243029365
User_83,-3.083313,-60.013498,2018-07-03,Tuesday,22,store,1531277516350
User_2047,-18.7192,-39.855259,2018-07-03,Wednesday,0,store,1531278077278
User_2821,-22.836615,-43.361795,2018-07-03,Tuesday,23,restaurant,1531275734220
User_2895,-23.687074,-46.551464,2018-07-03,Tuesday,20,restaurant,1531264365128
User_934,-12.967339,-38.461934,2018-07-03,Tuesday,23,pharmacy,1531274648741
User_2272,-30.113908,-51.23033,2018-07-03,Tuesday,23,restaurant,1531276931153
User_3093,-23.554656,-46.614206,2018-07-03,Wednesday,9,restaurant,1531313330294
User_1154,-23.713261,-46.530849,2018-07-03,Wednesday,9,car_wash,1531313504997
User_2479,-22.881733,-47.231051,2018-07-03,Wednesday,9,jewelry_store,1531313741806
User_5192,-23.174044,-45.852329,2018-07-03,Wednesday,9,car_dealer,1531313787435
User_5805,-23.556241,-46.567849,2018-07-03,Wednesday,7,movie_rental,1531305846689
User_4042,-9.947777,-67.867429,2018-07-03,Wednesday,8,store,1531315035517
User_726,-29.164435,-51.515776,2018-07-03,Wednesday,9,public_transportation,1531313623211
User_211,-9.37591,-40.489704,2018-07-03,Wednesday,9,taxi_stand,1531313374073
User_3632,-22.977248,-44.296519,2018-07-03,Wednesday,9,restaurant,1531313917790
User_47,-23.702599,-46.559191,2018-07-03,Wednesday,11,car_repair,1531314380824
User_2853,-25.540066,-49.259516,2018-07-03,Wednesday,9,hospital,1531312643484
User_2528,-3.0341,-59.950452,2018-07-03,Wednesday,3,grocery_or_supermarket,1531292950920
User_3586,-22.959822,-43.029859,2018-07-03,Wednesday,10,doctor,1531316775708
User_1126,-22.825943,-43.074158,2018-07-03,Wednesday,9,store,1531312514118
User_4016,-29.948835,-51.173305,2018-07-02,Wednesday,10,fire_station,1531314645666
User_3182,-20.320995,-40.336898,2018-07-02,Wednesday,10,shopping_mall,1531314945581
User_3519,-23.48781,-46.486927,2018-07-02,Wednesday,10,restaurant,1531315549722
User_3340,-23.481144,-46.538379,2018-07-02,Wednesday,10,gym,1531316415618
User_4815,-12.999156,-38.504722,2018-07-02,Wednesday,8,locksmith,1531308665783
